"";"ref.date";"ticker";"price.adjusted"
"1942";2021-11-01;"PETR4.SA";24,925215
"1943";2021-11-03;"PETR4.SA";23,901501
"1944";2021-11-04;"PETR4.SA";23,144842
"1945";2021-11-05;"PETR4.SA";23,011314
"1946";2021-11-08;"PETR4.SA";23,251665
"1947";2021-11-09;"PETR4.SA";23,714561
"1948";2021-11-10;"PETR4.SA";23,527622
"1949";2021-11-11;"PETR4.SA";23,545427
"1950";2021-11-12;"PETR4.SA";24,026127
"1951";2021-11-16;"PETR4.SA";24,275379
"1952";2021-11-17;"PETR4.SA";23,66115
"1953";2021-11-18;"PETR4.SA";23,625544
"1954";2021-11-19;"PETR4.SA";23,233862
"1955";2021-11-22;"PETR4.SA";23,465311
"1956";2021-11-23;"PETR4.SA";24,747177
"1957";2021-11-24;"PETR4.SA";25,254585
"1958";2021-11-25;"PETR4.SA";26,367317
"1959";2021-11-26;"PETR4.SA";25,343601
"1960";2021-11-29;"PETR4.SA";26,233788
"1961";2021-11-30;"PETR4.SA";26,198181
"1962";2021-12-01;"PETR4.SA";26,349514
"1963";2021-12-02;"PETR4.SA";28,360001
"1964";2021-12-03;"PETR4.SA";28,76
"1965";2021-12-06;"PETR4.SA";28,889999
"1966";2021-12-07;"PETR4.SA";29,360001
"1967";2021-12-08;"PETR4.SA";29,35
"1968";2021-12-09;"PETR4.SA";29,290001
"1969";2021-12-10;"PETR4.SA";29,65
"1970";2021-12-13;"PETR4.SA";29,469999
"1971";2021-12-14;"PETR4.SA";29,120001
"1972";2021-12-15;"PETR4.SA";29,299999
"1973";2021-12-16;"PETR4.SA";29,690001
"1974";2021-12-17;"PETR4.SA";28,99
"1975";2021-12-20;"PETR4.SA";28,16
"1976";2021-12-21;"PETR4.SA";28,200001
"1977";2021-12-22;"PETR4.SA";28,16
"1978";2021-12-23;"PETR4.SA";28,33
"1979";2021-12-27;"PETR4.SA";28,75
"1980";2021-12-28;"PETR4.SA";28,780001
"1981";2021-12-29;"PETR4.SA";28,540001
"1982";2021-12-30;"PETR4.SA";28,450001
"1983";2022-01-03;"PETR4.SA";29,09
"1984";2022-01-04;"PETR4.SA";29,200001
"1985";2022-01-05;"PETR4.SA";28,07
"1986";2022-01-06;"PETR4.SA";28,049999
"1987";2022-01-07;"PETR4.SA";28,18
"1988";2022-01-10;"PETR4.SA";28,01
"1989";2018-01-03;"VALE3.SA";31,680569
"1990";2018-01-04;"VALE3.SA";31,81044
"1991";2018-01-05;"VALE3.SA";32,306995
"1992";2018-01-08;"VALE3.SA";33,025097
"1993";2018-01-09;"VALE3.SA";32,902874
"1994";2018-01-10;"VALE3.SA";32,444511
"1995";2018-01-11;"VALE3.SA";33,078575
"1996";2018-01-12;"VALE3.SA";33,269558
"1997";2018-01-15;"VALE3.SA";33,20845
"1998";2018-01-16;"VALE3.SA";32,314636
"1999";2018-01-17;"VALE3.SA";32,963985
"2000";2018-01-18;"VALE3.SA";32,742443
"2001";2018-01-19;"VALE3.SA";32,757721
"2002";2018-01-22;"VALE3.SA";32,582016
"2003";2018-01-23;"VALE3.SA";31,268044
"2004";2018-01-24;"VALE3.SA";31,917383
"2005";2018-01-25;"VALE3.SA";31,917383
"2006";2018-01-26;"VALE3.SA";31,650013
"2007";2018-01-29;"VALE3.SA";32,001423
"2008";2018-01-30;"VALE3.SA";31,680569
"2009";2018-01-31;"VALE3.SA";31,665293
"2010";2018-02-01;"VALE3.SA";31,92503
"2011";2018-02-02;"VALE3.SA";31,168726
"2012";2018-02-05;"VALE3.SA";30,824959
"2013";2018-02-06;"VALE3.SA";32,444511
"2014";2018-02-07;"VALE3.SA";31,863914
"2015";2018-02-08;"VALE3.SA";31,772243
"2016";2018-02-09;"VALE3.SA";32,085457
"2017";2018-02-14;"VALE3.SA";34,002941
"2018";2018-02-15;"VALE3.SA";35,103016
"2019";2018-02-16;"VALE3.SA";35,164131
"2020";2018-02-19;"VALE3.SA";35,484985
"2021";2018-02-20;"VALE3.SA";34,766884
"2022";2018-02-21;"VALE3.SA";34,224483
"2023";2018-02-22;"VALE3.SA";34,889111
"2024";2018-02-23;"VALE3.SA";35,202328
"2025";2018-02-26;"VALE3.SA";36,210732
"2026";2018-02-27;"VALE3.SA";36,157257
"2027";2018-02-28;"VALE3.SA";34,41547
"2028";2018-03-01;"VALE3.SA";33,957111
"2029";2018-03-02;"VALE3.SA";33,422356
"2030";2018-03-05;"VALE3.SA";33,384151
"2031";2018-03-06;"VALE3.SA";33,223724
"2032";2018-03-07;"VALE3.SA";33,106678
"2033";2018-03-08;"VALE3.SA";32,032742
"2034";2018-03-09;"VALE3.SA";32,527218
